131,4,44120778,Practicante de Desarrollo Comercial- EDELNOR,"•Realizar el control y seguimiento del Cuadro de Mando de Marketing asignada a Communication Agency Perú.
 •Coordinar con proveedores internos (agencia), coordinadores, analistas.
 •Elaborar el Gant de campañas retail y seguimiento del mismo.
 •Elaboración del cuadro de especificaciones técnicas de productos para las diferentes piezas del área.
 •Realizar el seguimiento a la elaboración de piezas para los diferentes planes del área.
 •Controlar la logística pre-operativa y post campaña de todas las piezas.
 •Elaborar el Newsletter del área de Ventas.
 •Elaborar la presentación de campañas a la fuerza de ventas.
 •Elaborar productos para avisos de prensa del mes.
 •Efectuar la búsqueda de eficiencias operativas para incrementar margen y reducir costos.","•Estudiantes de 8vo ciclo en adelante de la carrera de Ingeniería Industrial, Ingeniería Informática, Administración de empresas y Marketing para realizar sus prácticas en el grupo Endesa, líder en el sector energía.
 •Conocimientos:
 oMs Office Avanzado (Excel, macros)
 oManejo de Base de satos - Access (Intermedio/ Avanzado),
 oManejo de Project /Visio"

156,4,44120930,"Asistente Java
 Accenture es una empresa global de consultoría en management, servicios de tecnología y outsourcing. Combinando una experiencia incomparable, amplias capacidades en todas las industrias y funciones de negocios y una amplia investigación respecto de las empresas más exitosas del mundo.
 En la actualidad nos encontramos en la búsqueda de jóvenes profesionales o estudiantes de últimos ciclos de la carrera de Ingeniería de Sistemas, Informática o afines, técnicos o universitarios para integrarse a una prestigiosa empresa multinacional.
 
 Descripción del puesto
 Nos encontramos en la búsqueda de un profesional de sistemas con experiencia realizando funciones de programación y diseño con C++ para desempeñarse como Asistente / Programador
 Requisitos
 -Mínimo contar con 1 a 2 años realizando funciones de programación y diseño con C++.
 -Se valorará experiencia en el rubro de Banco y/o Seguros.
 -Titulado Universitario y/o técnico en Sistema, Informática y/o afines.
 
 ¿Qué ofrecemos como empleador? Desafíos. Equipo. Capacitación. Reconocimientos. Crecimiento. Motivación. En Accenture ponemos a tu disposición todos nuestros recursos, para que llegues tan lejos como te lo propongas. Si es esto lo que buscas, Accenture es tu lugar.",,

157,1,44120932,"Analista C++
 Accenture es una empresa global de consultoría en management, servicios de tecnología y outsourcing. Combinando una experiencia incomparable, amplias capacidades en todas las industrias y funciones de negocios y una amplia investigación respecto de las empresas más exitosas del mundo.
 En la actualidad nos encontramos en la búsqueda de jóvenes profesionales o estudiantes de últimos ciclos de la carrera de Ingeniería de Sistemas, Informática o afines, técnicos o universitarios para integrarse a una prestigiosa empresa multinacional.
 
 Descripción del puesto
 Nos encontramos en la búsqueda de un profesional de sistemas con experiencia en elaboración del diseño técnico y documentación, análisis de requerimientos y programación para desempeñarse como Analista Programador","Requisitos
 Elaboración del diseño técnico y documentación, análisis de requerimientos, programación y haber participado en pases a producción.
 Mínimo contar con 2 a 3 años realizando funciones de programación con C++.
 Experiencia en elaboración del diseño técnico y documentación, análisis de requerimientos, programación y haber participado en pases a producción.
 Se valorará experiencia en el rubro de Banco y/o Seguros.",

183,3,44121078,Product Analyst,"Specific Responsibilities:
 
 •Recommend methods to improve and automate product maintenance procedures and work scope item tracking.
 •Analyze Roadmap and customer requirements and develop product Functional Specifications, Use Cases and Test Scripts for the solutions.
 •Ensure all changes meet functional specifications before release to customers.
 •Engage necessary Quadrem and customer team members to resolve critical product issues and in working through design/development issues and testing processes.
 •Define and perform rollout activities to ensure successful launch of new product features.
 •Train internal staff on new software releases and new tools used by Product Management.
 •Provide Level 2 & 3 tier product knowledge to local and regional Sales and Support groups.
 •Prepare status reports and input summarizing product changes and support activities.","The successful candidate should possess the following skills and qualifications:
 
 •Strong Internet and computer literacy skills, including the latest windows operating systems and MS office suites, and other office productivity applications. Exposure to web-based applications is required.
 •Bachelor’s degree in Computer Science, Information Systems, Engineering, or other technology-related discipline preferred. In lieu of a degree, 1-3 year’s experience in a software product analysis or application support role is highly valued.
 •Exposure to SDLC (System Development Life Cycle) processes.
 •Exposure to XML mapping standards and document exchange between business partners.
 •Experience building GUI (graphical user interface) wire-frames or mock-ups is desirable.
 •Demonstrated ability to manage multiple tasks across functions.
 •Creative, self-starter, team-player.
 •Effective communicator with a strong customer service focus.
 •Strong analytical capabilities, detail-oriented, great documentation and follow-though.
 •General knowledge of the procurement process with experience in e-marketplaces or e-procurement highly desirable.
 •Fluency in English.
 
 Please send your CV in english."

266,4,44121583,Analista de Investigación de Mercado de Tecnología,"-Experience in Marketing areas within it companies or distribution channels of retaill.
 -We are looking for ndividuals who are team players and want a professional that will give them knowledge of the IT industry.
 -1- 3 years or more of professional in any of the previously mentioned areas.
 -Responsible for developing market data about the technology industry in Perú. This will be done by developing models based on historical information that is then verified through telephone interviews and secondary sources.
 -The job is highly quantitative in nature and requires someone who is
 looking to further develop their expertise in market sizing and
 forecasting.","-Be a confident Excel user to maintain and upgrade
 Excel-based tools that support various stages of the
 research process including data collection and
 deliverables to clients.
 -The ideal candidate must have solid spreadsheet
 and database understanding to accomplish these.
 -Analytical thinking and a foundation of
 statistics/spreadsheet modeling.
 -Be able to work independently as well as a team member with other analysts.
 -Superb organizational skills to meet research objectives on tight deadlines.
 -Develop market forecasts.
 -Report findings in tabulated form.
 -Highly ethical individual.
 -Extremely detail oriented."

