1,ios develop,som empres lid creacion websit ecommerc merc internacional estam busc talent desarroll ampli experient desarroll aplic movil iphon andro ipads trabaj sed ofrec ambient laboral excelent equip colabor interes envi curriculum email form inmediat acced entrev empez trabaj posicion cubr inmediat buen salari permanent dentr organizacion garantiz posicion proyect mes freelancing,requirements years ios experienc objectiv ios ios sdk git xml soap json xcod ipa ios apk andro jquery mobil jav script
6,practic desarroll negoci,soport report comercial automatiz report planificacion comercial analisis report seguimient automatizacion seguimient report horari sal,indispens
4,ingenier sistem arquitect,analiz disen implement arquitectur tecnic solucion softwar analiz disen implement solucion tecnologi defin tecnologi informacion utiliz requer infraestructur necesari pod atend neces client esto inclu sizing defin proced rutin funcion form part desarroll sistem defin prueb tecnic necesari proced rutin funcion cre garantiz correct funcion documentacion mism defin arquitectur disen inici desarroll product softwar defin estandar arquitecton aplic mejor practic estandar desarroll conduc elaboracion documentacion tecnic sistem carg balance aplic integracion directori activ elabor estandar desarroll apoy instalacion sistem bas dat ambient destin elabor especif tecnic codificacion aplic elabor prototip tecnic aplicacion realiz prueb tecnic integracion realiz prueb stress carg,experient arquitectur orient tecnologi jav experient arquitectur bas webservic experient integracion aplic web experient uso bas dat relacional divers plataform principal sql serv experient minim cuatr anos labor similar experient lider equip desarroll anal manej sistem conoc softwar programacion bas experient jav liferay spring spring mvc javascript ehcach hibernat hab usad administr webspher hab implement algun fluj proces bpm ten conoc ello sql serv conoc apach solr cms content management system visual vm jmet
4,ingenier sistem anal funcional,profesional respons analisis funcional tecnic solucion desarroll coordinacion direct equip implement respons dar soport activ jef proyect respons supervis product entreg cumpl establec propuest,experient analisis sistem mediant elaboracion especificacion funcional baj metodologi uml cas uso diagram etc experient interaccion direct client usuari experient desarroll aplic web php net jav experient model bas dat conoc sql serv oracl plsql expert metodologi desarroll softwar rup scrum experient minim cuatr anos labor similar conoc conoc softwar programacion bas experient
4,ingenier sistem anal calid,elabor ejecut escenari cas prueb permitir verific correct funcion aplic web defect detect error deb ser correg are encarg,experient minim ano demostr proyect similar capac trabaj equip egres curs ultim cicl ingenieri sistem computacion informat univers institut conoc ingenieri softwar web buen practic desarroll web clar entend cas uso rup excelent manej naveg web maquin virtual estandar conoc component utiliz interaccion red social social medi conoc disen web html jav net programacion disposit movil conoc bas dat sql serv mysql oracl etc conoc testlink bugzill selenium
6,practic profesional consultori,contribu control seguimient gestion proyect mejor client elabor inform avanc plant altern solucion cumpl entreg,deseabl metodologi gestion proyect pmi proces negoci bpm ms offic nivel avanz preferent conoc adonis model proces experient experient minim ano labor practic similar deseabl funcional modul sap
6,consultor senior proyect,analiz investig informacion relacion propon oportun mejor proces negoci involucr proyect segun lineamient recib plante altern solucion problem detect analisis sustent dich altern aplic tecnic metodologi analisis mejor proces logr objet entreg proyect inform inmediat superior avanc entreg asign,deseabl hab utiliz metodologi asap implementacion proyect sap metodologi afin implantacion gestion proyect pmi bmp manej ms offic nivel avanz manej adonis ms project experient minim anos consultori particip desarroll proyect implementacion sistem
6,consultor junior proyect,relev informacion situacion actual proces negoci acuerd metodologi establec gerenci analiz informacion relev proces identif oportun mejor propon solucion equip trabaj,expert manej herramient ofimat alta capac analisis comunicacion conoc adonis model proces experient minim ano implantacion proyect metodologi afin implantacion gestion proyect pmi bmp experient proyect corpor envergadur consultor
6,practic riesg minor,conoc proces vent carter aplic conoc automatizacion optimizacion proces vent,estudi universitari 7mo 9no cicl
6,jef asegur calid,planific organiz dirig supervis activ relacion control asegur calid respons calid product audit proced organizacion document cualqui cambi proced empres capacitacion revisor qa coordin tod are centraliz requer qa,requisit min situacion egres sol grad bachill especial ingenieri sistem certificacion istqb opcional experient minim anos experient control calid disponibil horari tiemp complet
1,anal funcional oracl develop,accentur empres consultori management servici tecnologi outsourcing combin experient incompar ampli capac tod industri funcion negoci ampli investigacion respect empres exit mund nos encontr busqued profesional sistem experient oracl develop forms reports pl sql bas oracl desempen anal senior,anos experient desarroll aplic dich tecnologi experient direccion equip trabaj gestion proyect deseabl experient rubr segur
4,practic sistem,apoy encarg subgerent informacion equip planeamient division credit manej bas dat generacion report analisis administracion servidor apoy proyect informacion generacion report analisis basic informacion carter mayor provision manej bas dat nivel consult apoy desarroll proyect asign subgerent automatiz proces nuev herramient informacion proyect renovacion tecnolog caps apoy actualizacion manual aplic cual gerenci lid usuari hac seguimient actualizacion shar point division credit apoy administracion servidor equip schedul back ups organiz fil coordin sistem nuev neces,conoc manej bas dat report nivel consult algun lenguaj programacion
1,anal program web,nuestr client encuentr busqued profesional prim nivel ocup carg anal program web funcion analisis proces coordinacion jef desarroll disen bas dat coordinacion jef desarroll documentacion definicion proces rup uml desarroll solucion aplic windows web visual studi validacion solucion coordinacion jef desarroll puest produccion solucion ambient teste primer client disen proces implementacion softwar manual usuari,experient minim tres anos anal program especializ webs deseabl certif microsoft mcpd windows develop mcpd asp net develop conoc sql asp net microsoft net rup visual basic deseabl conoc oracl datab patron disen benefici remuneracion acord merc oportun line carrer
6,practic custom experienc ii,apoy program taller calid gener comun flyers vide edicion etc manej inventari merchandizing unid requer proveedor apoy elaboracion present oficin canal product conoc red social basic apoy actualizacion metric revis verbatin escuch edit audi encuest realiz,indispens experient
1,asistent jav,disen desarroll aplic bas requer client,experient minim ano manej herramient jav deseabl experient proyect implementacion sistem alin rubr segur
1,practic jav j2e,disen desarroll aplic bas requer client,deseabl experient minim ano manej herramient jav disponibil realiz hor semanal disponibil trabaj cerc
4,traine ingenieri informat,particip proyect implementacion sistem negoci empres segur apoy analisis desarroll etap implementacion proyect soport analisis negoci segur,deseabl experient nivel ingles intermedi
1,traine oracl develop,disen desarroll aplic bas requer client,deseabl experient minim ano manej herramient oracl develop disponibil complet
1,traine jav,disen desarroll aplic bas requer client,deseabl experient minim ano manej herramient jav disponibil complet
6,anal asegur ingres,ejecucion control asegur ingres ofert comercial prepag aprovision trafic facturacion gestion mejor control actual elaboracion seguimient plan accion solucion incident impact ingres satisfaccion client identificacion evaluacion econom potencial perd ingres participacion proyect implementacion nuev product sistem,domini ms offic manej bas dat
6,002 2014 practic dpto supervision riesg operacional sar,practic apoy divers activ realiz interior dpto riesg operacional destac implementacion central perd centraliz riesg operacional obtencion report consolid nivel sistem supervis implementacion herramient soport gestion prepar actualiz documentacion tecnic amnual proced format similar apoy planificacion activ capacitacion entidad supervis respect proyect desarroll dpto elaboracion documentacion relacion atencion consult remit apoy elbaoracion document indic result evaluacion realiz empres supervis consult traslad dpto,conoc nivel intermedi bas dat honest capac trabaj equip respons pro activ
6,practic asegur ingres,seguimient control asegur ingres apoy analisis proces relacion generacion registr facturacion cobranz trafic gestion aprovision client apoy evaluacion potencial perd ingres apoy implementacion nuev control asegur ingres relacion lanzamient nuev product sistem element red,
6,anal program cobranz,analiz disen implement manten sistem are cobranz proposit proporcion solucion tecnolog convenient negoci permit logr mayor eficient oper disminu provision gener ingres garantiz nivel servici acord usuari cumpl proced gestion desarroll proyect establec,experient ano anal program conoc programacion aplic client servidor web conoc avanz net javascript vbasic sql oracl
4,anal program,realiz analisis disen desarroll implementacion nuev proces modif existent desarroll interfac contabil finanz desarroll nuev formulari report,egres carrer profesional tecnic ingenieri sistem experient minim ano conoc aplic contabl funcion erp manej visual basic net sql serv pl sql manej avanz paquet offic ingles nivel intermedi preferent
6,especial inscripcion colect,elabor cuadr estadist indic program colect segun requer gerenci interactu coordin respons proces envi informacion diferent canal vent direct brokers compani segur coordin nuev canal operat envi informacion segun regl negoci establec supervis control correct cumplimient proces acuerd manual proced establec vent colect supervis atencion solucion oportun quej recl orientacion client intern extern vent colect control bas dat registr vent colect actualiz mism reflej cuadr poblacion canal program grup etari supervis impresion oportun document acreditacion cuent constanci renovacion cart baj coordin jefatur retencion control diferent proces vent colect desarroll acuerd proced establec sistem gestion calid,experient realiz funcion coordinacion supervision excel avanz conoc bas dat sql access indispens manej indic gestion desarroll proyect
4,asistent tecnologi informacion,funcion analisis desarroll documentacion aplic empresarial organiz manten actualiz orden debid inventari equip comput archiv respald informacion program informat instal asegur manten conservacion equip suministr comput realiz funcion asign jef are apoy cierr contabl fin mes desplieg activ respald usuari monitore seguimient incident part usuari uso equip sistem,requisit anos experient puest similar domini nivel intermedi avanz siguient lenguaj programacion visual basic visual studi net web escritori domini nivel intermedi avanz sql serv domini nivel intermedi administracion windows serv capac analisis disen aplic empresarial conoc intermedi proces empresarial inventari compr contabil facturacion produccion conoc nivel intermedi itil conoc basic pmbok pmi experient intermedi herramient metodologi model uml rup
4,consultor junior soport,respons realiz activ soport product exactus atencion consult client manten product report jefatur are soport desarroll tar del puest atencion cas soport funcional tecnic product exactus consult telefon mensajeri instantane consult sistem cas atencion error report modul correccion error seguimient situ realizacion mejor solicit modul atend requer menor factur client seguimient cas report partn realiz visit instalacion bas dat realiz documentacion product realiz cambi requer legal,conoc basic funcional tecnic cualqui erp particip ano minim implementacion soport conoc siguient lenguaj deseabl sql jav net conoc uso sql serv oracl nivel desarroll opcional nivel administracion conoc notacion uml conoc uso herramient ofimat ms project conoc model programacion orient objet oop
3,practic soport erp,apoy are soport exactus erp conoc manej bas dat sql serv oracl conoc programacion conoc basic funcional tecnic cualqui erp experient mes minim implementacion soport,
